05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Argument 1 is  = Photoshop1
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Argument 2 is = 22.3
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Argument 3 is  = {}
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Argument 4 is = /Applications/Adobe Photoshop 2021/Adobe Photoshop 2021.app/Contents/MacOS/Adobe Photoshop 2021
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Argument 5 is = 7.3.0.197
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Argument 6 is = 10
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Initiating workflow for NGL
05/17/21 23:03:40:044 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Client request processing started
05/17/21 23:03:40:045 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Lock acquired, continue with the workflow
05/17/21 23:03:40:046 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 8862 | Trying to acquire the semaphore
05/17/21 23:03:40:046 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 8862 | Semaphore acquired
05/17/21 23:03:40:074 | [DEBUG] |  |  |  | AdobeGCClientImpl |  |  | 8862 | Country is allowllisted
05/17/21 23:03:40:074 | [DEBUG] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 8862 | Caching the app executable for LEID : Photoshop1-22-OSX
05/17/21 23:03:40:134 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 8862 | Getting list of NGL based installed products
05/17/21 23:03:40:134 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 8862 | Querying for all HD based installed products
05/17/21 23:03:40:326 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 8862 | Successfully fetched list of installed products
05/17/21 23:03:40:326 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 8862 | Parsing response from HD
05/17/21 23:03:40:326 | [INFO] |  |  |  | AdobeGCHDWrapper |  |  | 8862 | Successfully parsed response from HD
05/17/21 23:03:40:327 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:328 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | NGL App ID Not Found in local Database
05/17/21 23:03:40:328 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:329 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:330 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | NGL App ID Not Found in local Database
05/17/21 23:03:40:331 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:334 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:335 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | NGL App ID Not Found in local Database
05/17/21 23:03:40:336 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:337 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:338 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | NGL App ID Not Found in local Database
05/17/21 23:03:40:338 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:338 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:342 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | NGL App ID Not Found in local Database
05/17/21 23:03:40:343 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:345 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:346 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | NGL App ID Not Found in local Database
05/17/21 23:03:40:346 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:347 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Getting NGLAppId
05/17/21 23:03:40:347 | [INFO] |  |  |  | NGLAppIDLookup |  |  | 8862 | Returning NGLAppId
05/17/21 23:03:40:785 | [INFO] |  |  |  | AdobeGCWorkflowImpl |  |  | 8862 | istargeted flag read
05/17/21 23:03:40:785 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 8862 | Finding if active product is suppressed
05/17/21 23:03:40:787 | [INFO] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 8862 | Active product is suppressed
05/17/21 23:03:40:787 | [DEBUG] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 8862 | Product is suppressed. Not calling the Fetch rules API
05/17/21 23:03:40:787 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 8862 | recording product launch event
05/17/21 23:03:40:791 | [INFO] |  |  |  | SLCoreService |  |  | 8862 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
05/17/21 23:03:40:791 | [ERROR] |  |  |  | SLCoreService |  |  | 8862 | user based licensing: 0
05/17/21 23:03:40:791 | [INFO] |  |  |  | SLCoreService |  |  | 8862 | Service construction took 0.3 ms and succeed.
05/17/21 23:03:40:792 | [INFO] |  |  |  | machineid_wrapper |  |  | 8862 | Machine ID : rK/O0Bei0pTh3odw506Mt1YNyo+XtdyZ
05/17/21 23:03:40:792 | [INFO] |  |  |  | SLCoreService |  |  | 8862 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
05/17/21 23:03:40:792 | [INFO] |  |  |  | SLCoreService |  |  | 8862 | Service destruction took 0.0 ms and succeed.
05/17/21 23:03:40:802 | [INFO] |  |  |  | AdobeGCValidatorAnalytics |  |  | 8862 | Fetching validator analytics
05/17/21 23:03:40:803 | [INFO] |  |  |  | AdobeGCValidatorAnalytics |  |  | 8862 | Successfully fetched validator analytics
05/17/21 23:03:40:803 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 8862 | Successfully fetched all records
05/17/21 23:03:40:803 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | Sending machine events
05/17/21 23:03:40:808 | [INFO] |  |  |  | DispatchClientLib |  |  | 8862 | __OOBELIB_LOG_FILE__
05/17/21 23:03:40:808 | [INFO] |  |  |  | DispatchClientLib |  |  | 8862 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app/..//dispatchtable.xml 
05/17/21 23:03:40:808 | [ERROR] |  |  |  | DispatchClientLib |  |  | 8862 | Failed to read the dispatch table file contents.
05/17/21 23:03:40:808 | [INFO] |  |  |  | DispatchClientLib |  |  | 8862 | (re)load Local Dispatch Table status-[4].
05/17/21 23:03:40:808 | [FATAL] |  |  |  | DispatchClientLib |  |  | 8862 | DispatchLib Create Session initialization failed.
05/17/21 23:03:40:808 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
05/17/21 23:03:40:808 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 8862 | Verifying if server domain is blocked
05/17/21 23:03:40:809 | [FATAL] |  |  |  | DispatchClientLib |  |  | 8862 | Invalid session 
05/17/21 23:03:40:809 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | Constructing URL
05/17/21 23:03:40:821 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | HTTPCommunicationAgent::processMessage Type:[POST] URI:[https://genuine.adobe.com/server/services/machineevents/v1] extURL:[].
05/17/21 23:03:42:120 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | HTTP Request Status code 200.
05/17/21 23:03:42:120 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | HTTPCommunicationAgent- Return Code:[0] response size-[391] time taken-[1301.28]ms.
05/17/21 23:03:42:120 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | Parsing response successful
05/17/21 23:03:42:120 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | AdobeGC sending machine event- [0] took - [1312.61]ms.
05/17/21 23:03:42:120 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | machine events successfully sent to server
05/17/21 23:03:42:120 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 8862 | Closing AdobeIALClient 1.0 Release (build 1.0.6.3) session.
05/17/21 23:03:42:123 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 8862 | successfully cleared product launch events from database
05/17/21 23:03:42:123 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 8862 | SetNextMachineEventsTimestamp 
05/17/21 23:03:42:123 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 8862 | SetNextMachineEventsTimestamp Wait Period 86400
05/17/21 23:03:42:125 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 8862 | SetNextMachineEventsTimestamp Wait Period Xtnd 1621350222
05/17/21 23:03:42:125 | [INFO] |  |  |  | AdobeGCClientImpl |  |  | 8862 | Semaphore signalled
05/17/21 23:03:42:137 | [INFO] |  |  |  | AdobeGCScheduler |  |  | 8862 | going to add task to scheduler
05/17/21 23:03:42:143 | [INFO] |  |  |  | AdobeGCScheduler |  |  | 8862 | gc invoker entry already exists
05/17/21 23:03:42:148 | [INFO] |  |  |  | AdobeGCSchedulerHelper |  |  | 8862 | AGM Service started
05/17/21 23:03:42:148 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | Client request processing completed
05/17/21 23:03:42:148 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 8862 | *********** Adobe GCClient Launch Ended ************
05/17/21 23:03:45:553 | [INFO] |  |  |  | GCValidator |  |  | 9022 | 0
05/17/21 23:03:45:553 | [INFO] |  |  |  | GCValidator |  |  | 9022 | 0
05/17/21 23:03:45:553 | [INFO] |  |  |  | GCValidator |  |  | 9022 | GC validator launched with proper arguments
05/17/21 23:03:46:897 | [INFO] |  |  |  | GCValidator |  |  | 9022 | Terminal command launched
05/17/21 23:03:46:897 | [INFO] |  |  |  | GCValidator |  |  | 9022 | sudo launchctl list | grep Adobe_Genuine_Software_Integrity_Service
05/17/21 23:03:46:951 | [INFO] |  |  |  | GCValidator |  |  | 9022 | Terminal result recieved
05/17/21 23:03:46:951 | [INFO] |  |  |  | GCValidator |  |  | 9022 | 77	0	Adobe_Genuine_Software_Integrity_Service

05/17/21 23:03:46:951 | [INFO] |  |  |  | GCValidator |  |  | 9022 | AGS already loaded
